RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Target
Julio Arce,Sheymon Moraes,-255.0,215.0,39.2157,215.0,0
Lyman Good,Ben Saunders,-630.0,465.0,15.873,465.0,1
Shane Burgos,Kurt Holobaugh,-400.0,325.0,25.0,325.0,1
Adam Wieczorek,Marcos Rogerio de Lima,-170.0,150.0,58.8235,150.0,0
Volkan Oezdemir,Anthony Smith,-160.0,140.0,62.5,140.0,0
Michael Johnson,Artem Lobov,-700.0,500.0,14.2857,500.0,1
Misha Cirkunov,Patrick Cummins,-345.0,285.0,28.9855,285.0,1
Andre Soukhamthath,Jonathan Martinez,-140.0,120.0,71.4286,120.0,1
Gian Villante,Ed Herman,-235.0,195.0,42.5532,195.0,1
Alex Garcia,Court McGee,-245.0,205.0,40.8163,205.0,0
Nordine Taleb,Sean Strickland,-120.0,100.0,83.3333,100.0,0
Thibault Gouti,Nasrat Haqparast,600.0,-750.0,600.0,13.3333,0
Calvin Kattar,Chris Fishgold,-200.0,170.0,50.0,170.0,1
Sarah Moras,Talita Bernardo,-170.0,150.0,58.8235,150.0,0
Te Edwards,Don Madge,-450.0,360.0,22.2222,360.0,0
Arjan Bhullar,Marcelo Golm,-160.0,140.0,62.5,140.0,1
Stevie Ray,Jessin Ayari,-160.0,140.0,62.5,140.0,1
Khabib Nurmagomedov,Conor McGregor,-190.0,165.0,52.6316,165.0,1
Tony Ferguson,Anthony Pettis,-355.0,295.0,28.169,295.0,1
Ovince Saint Preux,Dominick Reyes,190.0,-230.0,190.0,43.4783,0
Derrick Lewis,Alexander Volkov,135.0,-155.0,135.0,64.5161,1
Michelle Waterson,Felice Herrig,115.0,-135.0,115.0,74.0741,1
Sergio Pettis,Jussier Formiga,-190.0,165.0,52.6316,165.0,0
Vicente Luque,Jalin Turner,-700.0,500.0,14.2857,500.0,1
Aspen Ladd,Tonya Evinger,-185.0,160.0,54.0541,160.0,1
Scott Holtzman,Alan Patrick,260.0,-320.0,260.0,31.25,1
Lina Lansberg,Yana Kunitskaya,205.0,-245.0,205.0,40.8163,0
Gray Maynard,Nik Lentz,190.0,-230.0,190.0,43.4783,0
Ryan LaFlare,Anthony Rocco Martin,-125.0,105.0,80.0,105.0,0
Thiago Santos,Eryk Anders,-200.0,170.0,50.0,170.0,1
Alex Oliveira,Carlo Pedersoli,-500.0,400.0,20.0,400.0,1
Sam Alvey,Rogerio Nogueira,-350.0,290.0,28.5714,290.0,0
Renan Barao,Andre Ewell,-200.0,170.0,50.0,170.0,0
Charles Oliveira,Christos Giagos,-470.0,375.0,21.2766,375.0,1
Francisco Trinaldo,Evan Dunham,-165.0,145.0,60.6061,145.0,1
Luis Henrique,Ryan Spann,-105.0,-115.0,95.2381,86.9565,0
Augusto Sakai,Chase Sherman,-230.0,190.0,43.4783,190.0,1
Sergio Moraes,Ben Saunders,-275.0,235.0,36.3636,235.0,1
Mayra Bueno Silva,Gillian Robertson,120.0,-140.0,120.0,71.4286,1
Thales Leites,Hector Lombard,-160.0,140.0,62.5,140.0,1
Elizeu Zaleski dos Santos,Luigi Vendramini,-1000.0,650.0,10.0,650.0,1
Livinha Souza,Alex Chambers,-1500.0,1000.0,6.6667,1000.0,1
Mark Hunt,Aleksei Oleinik,-120.0,100.0,83.3333,100.0,0
Jan Blachowicz,Nikita Krylov,125.0,-145.0,125.0,68.9655,1
Andrei Arlovski,Shamil Abdurakhimov,120.0,-140.0,120.0,71.4286,0
Aleksei Kunchenko,Thiago Alves,-440.0,350.0,22.7273,350.0,1
Khalid Murtazaliev,CB Dollaway,-165.0,145.0,60.6061,145.0,1
Petr Yan,Jin Soo Son,-1200.0,775.0,8.3333,775.0,1
Rustam Khabilov,Kajan Johnson,-840.0,570.0,11.9048,570.0,1
Mairbek Taisumov,Desmond Green,-600.0,450.0,16.6667,450.0,1
Magomed Ankalaev,Marcin Prachnio,-560.0,430.0,17.8571,430.0,1
Adam Yandiev,Jordan Johnson,240.0,-280.0,240.0,35.7143,0
Ramazan Emeev,Stefan Sekulic,-680.0,490.0,14.7059,490.0,1
Merab Dvalishvili,Terrion Ware,-550.0,425.0,18.1818,425.0,1
Tyron Woodley,Darren Till,-105.0,-115.0,95.2381,86.9565,1
Jessica Andrade,Karolina Kowalkiewicz,-450.0,360.0,22.2222,360.0,1
Zabit Magomedsharipov,Brandon Davis,-1375.0,900.0,7.2727,900.0,1
Jimmie Rivera,John Dodson,-150.0,130.0,66.6667,130.0,1
Abdul Razak Alhassan,Niko Price,-110.0,-110.0,90.9091,90.9091,1
Carla Esparza,Tatiana Suarez,335.0,-420.0,335.0,23.8095,0
Aljamain Sterling,Cody Stamann,-170.0,150.0,58.8235,150.0,1
Geoff Neal,Frank Camacho,-210.0,175.0,47.619,175.0,1
